Unnamed: 0,RequestID,StartDate,EndDate,AgencyName,CategoryDescription,SelectionMethodDescription,ContractAmount
1,20171122014,11/30/2017,11/30/2017,Citywide Administrative Services,Goods,Renewal,394978.0
2,20160111008,01/20/2016,01/20/2016,Citywide Administrative Services,Goods,Other,181000.0
3,20160425003,05/02/2016,05/02/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,83351.02
5,20080626008,07/03/2008,07/03/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,249300.0
6,20101214016,12/21/2010,12/21/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,1021680.0
7,20141114010,11/21/2014,11/21/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,238312.5
8,20140618006,06/25/2014,06/25/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,1289940.0
9,20170313009,03/20/2017,03/20/2017,Citywide Administrative Services,Goods,Other,163625.0
11,20130227014,03/06/2013,03/06/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,36275.2
14,20170608001,06/15/2017,06/15/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,263625.0
16,20090727031,08/03/2009,08/03/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,3438.9
17,20180816020,08/23/2018,08/23/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,320092.5
19,20140527012,06/04/2014,06/04/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,2850000.0
22,20150212011,02/23/2015,02/23/2015,Citywide Administrative Services,Goods,Intergovernmental Purchase,29300.29
23,20150429027,05/07/2015,05/07/2015,Citywide Administrative Services,Goods,Other,170999.45
25,20080226019,03/04/2008,03/04/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,129456.0
27,20130520014,05/29/2013,05/29/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,390000.0
28,20110609015,06/16/2011,06/16/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,1380000.0
31,20100629010,07/07/2010,07/07/2010,Citywide Administrative Services,Goods,Intergovernmental Purchase,775544.83
32,20110211016,02/18/2011,02/18/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,1823417.0
33,20170913012,09/20/2017,09/20/2017,Citywide Administrative Services,Goods,Sole Source,1086132.35
35,20080813023,08/20/2008,08/20/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,262811.9
37,20141229006,01/06/2015,01/06/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,365821.5
38,20100111011,01/19/2010,01/19/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,11741900.0
40,20101201021,12/09/2010,12/09/2010,Citywide Administrative Services,Goods,Intergovernmental Purchase,328162.5
43,20180516028,05/23/2018,05/23/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,299362.79
44,20091027017,11/04/2009,11/04/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,474198.0
45,20090422029,04/29/2009,04/29/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,148504.76
46,20150325023,04/01/2015,04/01/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,1131900.0
47,20100607012,06/14/2010,06/14/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,19732292.0
50,20171109010,11/17/2017,11/17/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,64256255.0
52,20160324006,03/31/2016,03/31/2016,Citywide Administrative Services,Goods,Other,908960.0
53,20190220016,02/27/2019,02/27/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,392364.0
54,20080521010,05/29/2008,05/29/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,273661.1
55,20080606015,06/13/2008,06/13/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,407904.0
56,20110303009,03/10/2011,03/10/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,170190.0
57,20110617015,06/24/2011,06/24/2011,Citywide Administrative Services,Goods,Intergovernmental Purchase,349500.05
59,20090813013,08/20/2009,08/20/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,1936420.0
61,20111222014,12/30/2011,12/30/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,11200.0
62,20180323011,03/30/2018,03/30/2018,Citywide Administrative Services,Goods,Renewal,475000.0
63,20200417021,04/27/2020,04/27/2020,Citywide Administrative Services,Goods,Emergency Purchase,499980.0
64,20100730018,08/06/2010,08/06/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,642786.42
67,20110830011,09/02/2011,09/02/2011,Citywide Administrative Services,Goods,Intergovernmental Purchase,153288.5
68,20080626013,07/03/2008,07/03/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,784350.0
69,20130130029,02/07/2013,02/07/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,178568.34
71,20120625007,07/02/2012,07/02/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,340860.0
75,20200429013,05/07/2020,05/07/2020,Citywide Administrative Services,Goods,Emergency Purchase,30800000.0
76,20090828011,09/04/2009,09/04/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,207261.6
78,20130916021,09/23/2013,09/23/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,549971.0
79,20140702013,07/11/2014,07/11/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,177131.24
80,20160420035,04/27/2016,04/27/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,7042.0
82,20130816012,08/23/2013,08/23/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,8175.72
83,20151015021,10/22/2015,10/22/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,143508.4
86,20090311018,03/18/2009,03/18/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,166412.41
88,20140327008,04/03/2014,04/03/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,27000.0
89,20160225003,03/04/2016,03/04/2016,Citywide Administrative Services,Goods,Other,159111.0
90,20071022007,10/29/2007,10/29/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,19234839.0
91,20090327025,04/06/2009,04/06/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,555707.87
92,20100622006,06/30/2010,06/30/2010,Citywide Administrative Services,Goods,Intergovernmental Purchase,1401697.77
93,20070927010,10/04/2007,10/04/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,18822.66
94,20170209001,02/16/2017,02/16/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,367486.0
97,20141204022,12/11/2014,12/11/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,1255730.0
98,20141002015,10/09/2014,10/09/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,2196282.0
99,20190320008,03/27/2019,03/27/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,195782.4
103,20110627008,07/05/2011,07/05/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,3818.2
104,20130315023,03/22/2013,03/22/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,8869123.0
106,20170201009,02/08/2017,02/08/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,748455.16
109,20080606002,06/12/2008,06/12/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,14099091.5
110,20141209020,12/16/2014,12/16/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,214605.2
111,20130103015,01/10/2013,01/10/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,619080.0
112,20081208009,12/15/2008,12/15/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,131900.0
114,20091027025,11/04/2009,11/04/2009,Citywide Administrative Services,Goods,Other,2121.0
115,20150302010,03/10/2015,03/10/2015,Citywide Administrative Services,Goods,Intergovernmental Purchase,149023.85
120,20160720025,07/28/2016,07/28/2016,Citywide Administrative Services,Goods,Other,3000000.0
123,20190607008,06/14/2019,06/14/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,146050.0
126,20110103007,01/10/2011,01/10/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,7368425.0
128,20110307021,03/14/2011,03/14/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,222930.0
129,20080221016,02/28/2008,02/28/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,160789.4
130,20170706019,07/14/2017,07/14/2017,Citywide Administrative Services,Goods,Other,117900.81
131,20170519030,05/26/2017,05/26/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,1496260.0
132,20190313010,03/20/2019,03/20/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,10018464.25
134,20120629007,07/09/2012,07/09/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,296595.0
136,20190503034,05/10/2019,05/10/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,177948.1
140,20170504015,05/12/2017,05/12/2017,Citywide Administrative Services,Goods,Other,1017571.5
144,20170623042,07/05/2017,07/05/2017,Citywide Administrative Services,Goods,Other,445092.0
145,20161228003,01/05/2017,01/05/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,1271969.0
146,20120806014,08/13/2012,08/13/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,1471992.3
147,20090513012,05/20/2009,05/20/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,326231.65
148,20180517001,05/24/2018,05/24/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,38725.0
149,20100806011,08/13/2010,08/13/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,66330.0
150,20100429005,05/06/2010,05/06/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,255250.0
153,20090624034,07/01/2009,07/01/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,64090.36
154,20090519008,05/27/2009,05/27/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,370600.0
156,20130214005,02/22/2013,02/22/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,840957.5
158,20110310019,03/17/2011,03/17/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,375000.0
159,20160323036,04/01/2016,04/01/2016,Citywide Administrative Services,Goods,Other,599090.8
160,20121224008,01/02/2013,01/02/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,20359.1
161,20080613010,06/19/2008,06/19/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,1442684.08
162,20111028004,11/03/2011,11/03/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,483264.0
165,20110228015,03/08/2011,03/08/2011,Citywide Administrative Services,Goods,Intergovernmental Purchase,102384.0
166,20130227012,03/06/2013,03/06/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,67522.0
167,20110303011,03/10/2011,03/10/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,1649400.0
169,20080221015,02/28/2008,02/28/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,444609.04
170,20170823003,08/30/2017,08/30/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,52065.18
171,20110825013,09/01/2011,09/01/2011,Citywide Administrative Services,Goods,Intergovernmental Purchase,395500.0
175,20080522026,05/30/2008,05/30/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,4118815.38
176,20180222008,03/01/2018,03/01/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,362905.0
177,20121105001,11/13/2012,11/13/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,190000.0
178,20070815003,08/22/2007,08/22/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,224179.2
180,20080702007,07/10/2008,07/10/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,131762.4
182,20080902001,09/09/2008,09/09/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,572443.96
183,20140721011,07/28/2014,07/28/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,971055.3
185,20190110007,01/17/2019,01/17/2019,Environmental Protection,Goods,Innovative Procurement,49499.1
186,20180315026,03/22/2018,03/22/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,7952140.0
194,20090526008,06/02/2009,06/02/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,174090.01
196,20071022028,10/29/2007,10/29/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,180000.0
197,20170405016,04/12/2017,04/12/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,228000.0
198,20151217011,12/24/2015,12/24/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,104450.0
201,20170608015,06/15/2017,06/15/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,566111.0
205,20101021012,10/28/2010,10/28/2010,Citywide Administrative Services,Goods,Intergovernmental Purchase,2528643.0
206,20120628003,07/06/2012,07/06/2012,Citywide Administrative Services,Goods,Intergovernmental Purchase,239400.0
209,20180409033,04/16/2018,04/16/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,195385759.9
210,20190913011,09/23/2019,09/23/2019,Transportation,Goods,Innovative Procurement,100000.0
211,20151019015,10/27/2015,10/27/2015,Citywide Administrative Services,Goods,Other,522105.2
212,20170517012,05/24/2017,05/24/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,847899.8
213,20080716010,07/23/2008,07/23/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,867906.4
218,20100708029,07/15/2010,07/15/2010,Citywide Administrative Services,Goods,Intergovernmental Purchase,201981.53
219,20150430021,05/07/2015,05/07/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,503905.0
220,20120815006,08/22/2012,08/22/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,213710.58
222,20170307017,03/14/2017,03/14/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,21671964.0
223,20140820009,08/27/2014,08/27/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,170000.0
226,20160606042,06/13/2016,06/13/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,1850000.0
227,20110401008,04/08/2011,04/08/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,362945.0
229,20180524003,06/01/2018,06/01/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,4895.0
230,20081113015,11/20/2008,11/20/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,13852.0
231,20190214033,02/22/2019,02/22/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,242465.64
232,20090722008,07/29/2009,07/29/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,517000.0
234,20150326002,04/03/2015,04/03/2015,Citywide Administrative Services,Goods,Other,171995.0
236,20150330009,04/06/2015,04/06/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,35134172.0
237,20140605019,06/12/2014,06/12/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,384816.0
241,20080822021,08/29/2008,08/29/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,108000.0
242,20160108008,01/15/2016,01/15/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,1314700.0
246,20180727006,08/06/2018,08/06/2018,Citywide Administrative Services,Goods,Intergovernmental Purchase,697704.0
248,20080612004,06/19/2008,06/19/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,25900.5
249,20170125006,02/01/2017,02/01/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,8892400.0
250,20071211006,12/18/2007,12/18/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,1623936.0
254,20080623027,06/30/2008,06/30/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,29243.5
257,20090713005,07/20/2009,07/20/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,3044340.0
259,20090209018,02/17/2009,02/17/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,66126.65
260,20121221011,12/31/2012,12/31/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,179000.0
261,20120510009,05/17/2012,05/17/2012,Citywide Administrative Services,Goods,Intergovernmental Purchase,845870.0
264,20200429020,05/07/2020,05/07/2020,Citywide Administrative Services,Goods,Emergency Purchase,34300.0
265,20140624013,07/01/2014,07/01/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,1246140.0
266,20180213017,02/21/2018,02/21/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,246340.58
269,20140724024,08/01/2014,08/01/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,297795.0
271,20090811021,08/18/2009,08/18/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,116876.0
274,20160606044,06/13/2016,06/13/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,440325.0
275,20160809013,08/16/2016,08/16/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,232224.0
279,20170606012,06/13/2017,06/13/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,1825000.0
280,20130624009,07/01/2013,07/01/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,403546.32
281,20120816010,08/23/2012,08/23/2012,Citywide Administrative Services,Goods,Intergovernmental Purchase,126985.0
284,20091222013,12/30/2009,12/30/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,800740.0
285,20080418021,04/25/2008,04/25/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,14260.0
286,20071211008,12/18/2007,12/18/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,1030702.0
287,20140121012,01/29/2014,01/29/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,155274.0
290,20081211004,12/18/2008,12/18/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,239692.64
291,20180518005,05/25/2018,05/25/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,99183.0
292,20110831004,09/08/2011,09/08/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,568452.0
293,20130828004,09/05/2013,09/05/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,1013299.76
294,20140825008,09/02/2014,09/02/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,74843.8
295,20180404002,04/11/2018,04/11/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,904699.25
296,20070625027,07/02/2007,07/02/2007,Chief Medical Examiner,Goods,Sole Source,63570.0
297,20080701012,07/09/2008,07/09/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,8188.0
298,20150225017,03/04/2015,03/04/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,520000.0
299,20081211005,12/18/2008,12/18/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,293767.18
301,20080212013,02/20/2008,02/20/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,171945.0
303,20180523020,05/31/2018,05/31/2018,Citywide Administrative Services,Goods,Renewal,455640.0
